"fdc_id";"description";"is_vegan";"Ca";"CALORIES";"Carbohydrate";"Cholesterol";"Dietary  Fiber";"FAT";"Fat, saturated";"Fe";"K";"Na";"Protein";"Total Trans FA";"Vitamin A";"Vitamin C"
344922;"GARDENBURGER GB VEGGIE BURGERS BLACK BEAN 3OZ 48CT";TRUE;59;112;16.9;0;7.4;3;0.3;2.7;284;761;10.8;0.1;0;0
362225;"PIERRE, DRIVE THRU, BACON CHEESEBURGER";FALSE;72;302;28.06;43;1.4;15.11;5.76;1.94;0;511;14.39;0.72;72;1.7
386009;"NO BULL BURGER, VEGGIE BURGER, SUNDRIED TOMATO & SPINACH";TRUE;33;132;23.14;0;5.8;2.07;0;2.98;438;372;7.44;0;413;4
461510;"JUMBO BACON CHEESE BURGER";FALSE;86;305;26.18;26;1.3;17.17;6.44;2.32;0;468;11.59;0.43;43;1
463049;"CHICKEN BURGER";FALSE;18;150;1.77;75;0;8.85;2.65;1.59;0;372;16.81;0;88;2.1
463050;"FULLY-COOKED BEEF BURGERS";FALSE;0;293;1.01;91;0;25.25;10.1;2.73;0;404;15.15;1.01;0;0
480482;"PRETZEL BURGER";FALSE;75;286;22.11;43;1;13.57;5.53;2.26;0;613;16.08;0.5;151;4.5
484018;"BACKYARD BURGER SEASONING SAUCE";FALSE;0;83;16.67;0;0;0;0;1.2;0;833;0;0;667;4
507606;"CHEESE-BURGER";FALSE;77;285;32.31;15;2.3;13.08;4.62;2.77;0;454;10.77;0;77;0.9
510385;"ALL NATURAL TURKEY BURGERS";FALSE;18;179;0;67;0;9.82;3.12;1.29;0;143;20.54;0;0;0
571799;"PUB STYLE COD BURGER";FALSE;18;204;13.27;31;0.9;11.5;1.77;0.32;0;460;12.39;0;0;0
576911;"ANGUS BEEF BURGERS";FALSE;13;253;0;70;0;20;8;1.8;0;67;17.33;1.33;0;0
577762;"GROUND BEEF BURGER WITH BRISKET";FALSE;12;265;0;76;0;20.59;8.24;1.59;0;68;17.65;0;0;0
578501;"BIG PATTY CALIFORNIA CLASSIC BURGER";FALSE;13;215;0;68;0;15.23;5.96;2.15;0;66;18.54;0.99;0;0
578699;"GROUND STEAK BURGERS";FALSE;0;217;0;69;0;15.18;6.25;1.61;0;67;18.75;0;0;0
578856;"ANGUS GROUND CHUCK BURGERS";FALSE;24;253;0;71;0;20;7.65;2.12;0;65;17.06;1.18;0;0
578994;"BLACK ANGUS CHUCK BURGERS";FALSE;0;293;0;77;0;25.33;10;1.8;0;67;16.67;0.67;0;0
579602;"AMERICAN WAGYU BEEF GOURMET HAMBURGER";FALSE;0;335;0;49;0.9;30.36;11.61;3.21;0;71;16.96;0;179;0
644672;"BEEF STEAK BURGER PATTIES";FALSE;0;213;0;63;0;15.33;6;1.8;0;60;19.33;0;0;0
663080;"TURKEY BURGERS";FALSE;18;179;0.89;67;0;9.82;3.12;1.29;0;232;20.54;0;0;0
683710;"ANGUS BURGER BEEF PATTIES MADE WITH 100% ANGUS BEEF, ANGUS BURGER";FALSE;13;285;0;66;0;23.18;9.27;1.79;0;53;17.88;0.99;0;0
718964;"TURKEY BURGERS";FALSE;18;150;0;80;0;8.85;2.65;1.27;0;97;17.7;0;0;0
737742;"TURKEY BURGERS, TURKEY";FALSE;36;127;1.34;69;0.9;4.46;1.34;0.64;0;173;20.54;0;179;1.1
742264;"100% BEEF BURGER PATTIES, BEEF";FALSE;18;265;0;71;0;23.01;8.85;2.39;0;62;14.16;0.88;0;0
742266;"ORIGINAL 100% BLACK ANGUS BEEF BURGER, ORIGINAL";FALSE;0;265;0;70;0;23.18;9.27;1.79;0;60;13.91;0;0;0
745130;"HEARTY GARLIC BURGER SEASONING, HEARTY GARLIC";FALSE;0;429;85.84;0;0;0;0;0;0;1717;12.88;0;4292;51.5
750888;"Gardenburger Meal Solutions Original 5oz 36ct";TRUE;113;154;21.9;11;3.5;4.6;2.6;1.5;170;546;7.7;0;178;2
750956;"GARDENBURGER GB VEGGIE BURGERS ORIGINAL 10OZ";TRUE;64;155;22.1;9;5;4.6;2.4;1.4;177;684;7.2;0;0;0
750958;"Gardenburger Veggie Burgers Original 10oz";TRUE;64;155;22.1;9;5;4.6;2.4;1.4;177;684;7.2;0;0;0
751132;"Gardenburger Veggie Burgers Black Bean Chipotle 10oz";TRUE;49;133;22;0;6.1;3.9;0.4;2.4;223;545;6.5;0;0;0
751486;"GARDENBURGER GB VEGGIE BURGERS PORTABELLA 10OZ";TRUE;67;138;22.1;4;7.1;3.3;1.1;0.7;176;633;5.9;0;0;0
751488;"Gardenburger Veggie Burgers Portabella 10oz";TRUE;67;138;22.1;4;7.1;3.3;1.1;0.7;176;633;5.9;0;0;0
751490;"GARDENBURGER GB VEGGIE BURGERS MALIBU 3OZ 48CT";TRUE;43;178;23.1;2;5;8.5;1.2;1.3;236;591;5.5;0;0;0
751528;"Gardenburger Veggie Burgers Original 3.4oz 48ct";TRUE;113;154;21.9;11;3.5;4.6;2.6;1.5;170;546;7.7;0;178;2
751530;"Gardenburger Veggie Burgers Black Bean 3.4oz 48ct";TRUE;59;110;16.8;0;8.4;3.1;0.3;2.7;291;758;11.4;0.1;0;0
751532;"Gardenburger Veggie Burgers Veggie Vegan 3.4oz 48ct";TRUE;67;98;15.3;0;5.9;1.6;0.2;1.8;272;591;10.4;0;0;0
