"row_n";"Ca";"CALORIES";"Carbohydrate";"Cholesterol";"Dietary  Fiber";"FAT";"Fat, saturated";"Fe";"K";"Na";"Protein";"Total Trans FA";"Vitamin A";"Vitamin C"
"344922 TRUE";59;112;16.9;0;7.4;3;0.3;2.7;284;761;10.8;0.1;0;0
"356539 FALSE";0;119;1.19;54;0;5.36;1.79;0.86;0;1060;17.86;0;0;0
"356798 FALSE";0;170;0;62;0;8.93;2.68;0.64;0;62;20.54;0;0;0
"357261 TRUE";22;272;13.04;0;4.3;13.04;1.09;1.96;0;565;25;0;0;0
"357361 FALSE";0;289;2.22;78;0;26.67;8.89;0.8;0;889;11.11;0;444;0
"357928 FALSE";100;183;5;67;0;13.33;4.17;1.2;0;850;8.33;0;333;2
"358045 FALSE";13;253;0;70;0;20;8;1.8;0;67;17.33;0;0;0
"358047 FALSE";18;155;1.33;49;0;8.41;0.22;0.64;230;425;18.14;0;44;2.1
"358497 FALSE";18;205;0.89;54;0;16.07;8.93;0.64;0;527;8.93;0;446;1.1
"358498 FALSE";18;107;0;58;0;0.89;0;0.64;0;67;23.21;0;0;1.1
"358746 FALSE";71;196;0;58;0;14.29;7.14;1.61;0;277;16.07;0;0;0
"358747 FALSE";0;131;0;60;0;7.14;3.57;1.71;0;940;17.86;0;0;0
"358997 FALSE";0;188;0;85;0;12.5;3.57;0.96;0;80;17.86;0;89;2.1
"359601 FALSE";0;107;3.57;54;0;7.14;1.79;1.29;0;911;14.29;0;0;0
"360594 FALSE";0;232;25;98;0;14.29;5.36;1.29;0;554;0;0;0;0
"360610 FALSE";18;223;0;76;0;16.07;4.46;0.96;0;71;18.75;0;179;1.1
"360611 FALSE";18;161;0;80;0;8.93;2.23;0.96;0;85;19.64;0;89;3.2
"360612 FALSE";0;116;0.89;344;0;4.46;1.79;9.64;0;71;16.96;0;11161;18.8
"360613 FALSE";18;155;1.33;49;0;8.41;0.22;0.64;230;425;18.14;0;44;2.1
"360614 FALSE";48;119;1.19;65;0;4.17;1.19;1.71;0;619;19.05;0;119;0
"360615 FALSE";0;232;1.79;45;0;17.86;8.93;0.64;0;45;16.07;0;0;0
"360616 FALSE";18;205;0.89;54;0;16.07;8.93;0.64;0;527;8.93;0;446;1.1
"360617 FALSE";0;250;1.19;65;0;19.05;7.14;0.86;0;726;15.48;0;119;2.9
"360618 FALSE";18;205;0.89;54;0;16.07;8.93;0.64;0;527;8.93;0;446;1.1
"360619 FALSE";0;205;0.89;54;0;16.07;8.93;0.64;0;482;8.93;0;446;1.1
"360948 FALSE";0;170;0;71;0;10.71;3.12;0;0;36;18.75;0;0;0
"360976 FALSE";18;107;0;58;0;1.79;0;0.64;0;67;23.21;0;0;1.1
"361383 FALSE";18;107;2.68;49;0;1.34;0;0.96;0;580;19.64;0;179;2.1
"361384 FALSE";18;107;0;58;0;0.89;0;0.64;0;67;23.21;0;0;1.1
"361454 FALSE";0;116;4.46;45;0;3.57;1.34;0.64;0;357;16.96;0;0;0
"361455 FALSE";0;125;3.57;40;0;4.46;1.79;0.64;0;455;17.86;0;0;0
"361456 FALSE";71;107;1.79;40;0;3.57;1.34;0.32;0;375;16.96;0;0;0
"361457 FALSE";0;116;0.89;40;0;4.46;1.79;0.32;0;330;16.96;0;0;0
"362440 FALSE";0;545;0;91;0;36.36;13.64;0;0;1818;36.36;0;0;0
"365879 FALSE";61;303;3.03;61;0;25.76;9.09;0.55;0;939;12.12;0;0;0
"367494 FALSE";0;304;3.57;62;0;26.79;8.93;0.64;0;911;10.71;0;0;0
"368113 FALSE";21;245;1.06;69;0;19.15;6.38;1.15;0;574;15.96;0;106;1.3
"368118 FALSE";14;156;1.41;69;0;8.45;2.82;1.77;0;587;18.31;0;0;0
"368367 FALSE";0;130;0;93;0;3.7;1.85;2;0;593;22.22;0;0;0
"368368 FALSE";21;245;1.06;69;0;19.15;6.38;1.15;0;574;15.96;0;106;1.3
"368369 FALSE";21;245;1.06;69;0;19.15;6.38;1.15;0;574;15.96;0;106;1.3
"368371 FALSE";0;241;0;65;0;18.52;7.41;1.33;0;574;16.67;0;0;0
"368378 FALSE";21;128;1.06;90;0;4.26;1.06;2.3;0;585;21.28;0;213;1.3
"368379 FALSE";21;117;1.06;74;0;4.26;1.06;1.15;0;596;19.15;0;213;3.8
"368387 FALSE";21;128;1.06;90;0;4.26;1.06;2.3;0;585;21.28;0;106;1.3
"368388 FALSE";0;130;0;93;0;3.7;1.85;2;0;593;22.22;0;0;0
"368402 FALSE";21;117;1.06;74;0;3.19;1.06;1.15;0;596;19.15;0;213;3.8
"368434 FALSE";18;214;0;89;0;15.18;4.02;1.29;0;71;18.75;0;670;2.1
"369374 FALSE";0;500;0;143;0;42.86;14.29;2.57;0;1643;35.71;0;0;0
"369375 FALSE";0;500;0;143;0;42.86;14.29;2.57;0;1143;35.71;0;0;0
"370031 FALSE";36;200;1.82;64;0;16.36;2.73;1.31;0;600;14.55;0;727;2.2
"370032 FALSE";36;143;3.57;54;1.8;5.36;1.79;1.93;0;464;19.64;0;0;2.1
"374938 FALSE";0;143;4.46;40;0;5.36;2.23;0.64;0;554;17.86;0;0;0
"374939 FALSE";0;196;4.46;71;0;9.82;2.68;0.96;0;500;23.21;0;89;0
"374940 FALSE";0;116;2.68;45;0;4.02;1.34;0.96;0;393;17.86;0;89;0
"374956 FALSE";18;134;0.89;45;0;6.25;2.23;0.64;0;518;18.75;0;0;1.1
"374961 FALSE";0;304;1.79;62;0;28.57;10.71;1.29;500;821;10.71;0.89;0;0
"374963 FALSE";0;321;5.36;62;0;28.57;10.71;1.29;500;893;10.71;0.89;0;0
"374999 FALSE";0;667;0;100;0;66.67;20;0;0;833;6.67;0;0;0
"375005 FALSE";0;152;0;58;0;8.93;2.68;0;0;143;18.75;0;0;0
"375007 FALSE";0;98;0;58;0;2.23;0.45;0;0;161;20.54;0;0;0
"375008 FALSE";0;116;0;80;0;6.25;1.79;0.96;0;143;16.07;0;0;0
"375009 FALSE";0;196;0;94;0;15.18;4.46;0;0;170;15.18;0;0;0
"375011 FALSE";0;98;0;58;0;2.23;0.45;0;0;134;20.54;0;0;0
"375013 FALSE";0;188;0;80;0;13.39;4.02;0.32;0;134;16.96;0;0;0
"375021 FALSE";0;667;0;100;0;66.67;20;0;0;833;6.67;0;0;0
"375022 FALSE";0;89;0;62;0;0.45;0;0;0;98;19.64;0;0;0
"375024 FALSE";0;98;0;58;0;2.23;0.45;0;0;161;20.54;0;0;0
"377912 FALSE";0;195;0;58;0;15.04;5.31;1.27;0;982;12.39;0;0;0
"378165 FALSE";18;214;0;76;0;16.07;4.46;0.96;0;71;18.75;0;179;1.1
"378242 FALSE";18;161;0;80;0;8.93;2.23;0.96;0;85;19.64;0;89;3.2
"378251 FALSE";18;107;0;58;0;0.89;0;0.64;0;67;23.21;0;0;1.1
"378259 FALSE";18;214;0;85;0;15.18;4.46;0.96;0;76;16.96;0;179;2.1
"378335 FALSE";0;179;0;58;0;13.39;5.36;1.29;0;982;13.39;0;0;0
"378545 FALSE";0;98;3.57;49;0;1.79;0.45;0.96;0;393;16.07;0;179;0
"378546 FALSE";18;125;3.57;45;0;5.36;1.79;0.64;0;429;16.96;0;179;0
"378549 FALSE";0;89;1.79;54;0;1.79;0.45;0.96;0;170;16.96;0;0;0
"378552 FALSE";0;107;5.36;49;0;1.79;0.45;0.96;0;545;16.07;0;0;0
"378556 FALSE";18;98;3.57;49;0;1.79;0.45;0.96;0;295;16.96;0;89;0
"378557 FALSE";18;116;1.79;45;0;4.46;1.34;0.96;0;223;16.96;0;0;1.1
"378562 FALSE";0;125;0;45;0;5.36;1.79;1.29;0;857;18.75;0;0;0
"378627 FALSE";0;205;0;76;0;14.29;5.36;1.29;0;76;17.86;0;0;0
"378699 FALSE";0;214;0;76;0;15.18;4.46;0.96;0;259;18.75;0;179;1.1
"379983 FALSE";21;245;1.06;69;0;19.15;6.38;1.15;0;574;15.96;0;106;1.3
"381441 FALSE";0;143;1.79;76;0.9;8.04;2.68;0.64;0;679;16.96;0;0;0
